insee_com;postal_code
10119;10360
64543;64430
51375;51500
61101;61570
57507;57220
67337;67680
30154;30120
70441;70190
17413;17220
2360;2190
27526;27500
14136;14230
5131;5400
14049;14480
34129;34970
47192;47290
7076;7350
3246;3380
60374;60420
60674;60350
17060;17120
39362;39570
57535;57410
14093;14430
76284;76850
22245;22140
16111;16190
74022;74570
2B147;20224
31515;31620
74253;74800
8174;8200
10405;10240
68200;68210
38432;38500
60010;60110
81258;81440
34079;34800
57502;57320
15211;15150
87084;87230
82012;82100
76618;76370
36160;36190
55241;55220
87169;87800
56183;56910
78588;78650
2377;2140
42247;42990
19186;19380
76738;76750
5042;5250
21486;21110
62221;62127
1318;1390
24575;24250
18159;18330
59224;59247
66157;66360
88508;88270
47217;47270
1305;1190
65426;65190
2A363;20112
42181;42630
56099;56160
47076;47220
52103;52400
53100;53190
38087;38670
73178;73340
22100;22150
92060;92350
62108;62600
89062;89360
54600;54370
67205;67720
80568;80190
90098;90800
40195;40500
25462;25300
78498;78300
36071;36120
21143;21330
28134;28100
14116;14190
44090;44270
50629;50430
2264;2340
55335;55500
42285;42610
24418;24190
88228;88330
63329;63390
35133;35750
43027;43160
39359;39110
85069;85430
70004;70200
25559;25470
57629;57400
21162;21700
55557;55160
62077;62150
50159;50750
28112;28400
2642;2360
81181;81440
33019;33980
91685;91700
3016;3140
54007;54460
43013;43300
57319;57580
54131;54610
71050;71520
51537;51800
11312;11270
27586;27520
14374;14240
74266;74310
41229;41140
12109;12360
80779;80132
55023;55270
45229;45290
57289;57910
16421;16220
83030;83170
91578;91910
87053;87160
2057;2110
16280;16110
31498;31350
32312;32550
61325;61360
1277;1230
54175;54360
66054;66500
16403;16350
70002;70500
79134;79330
39530;39240
25580;25700
87130;87130
89414;89260
50571;50480
4204;4330
61021;61700
47028;47200
2B009;20270
1030;1480
32363;32300
39542;39240
71438;71360
67228;67370
91272;91190
57361;57480
2A144;20139
10073;10500
80585;80190
77434;77480
46147;46220
88025;88630
3110;3110
13216;13016
40247;40800
76602;76890
70521;70700
74196;74300
35049;35260
55553;55200
38189;38540
81009;81170
59494;59530
2831;2830
2B159;20287
31008;31230
31005;31420
35163;35133
76135;76360
43223;43620
31426;31210
31149;31770
62309;62380
92025;92700
69073;69490
69004;69380
14336;14250
51004;51260
33352;33190
64558;64990
21287;21500
67267;67380
15257;15130
39203;39250
42316;42240
7296;7200
8121;8260
59228;59169
19180;19200
32145;32720
78296;78440
77532;77160
64479;64300
76312;76220
21253;21510
76117;76790
78650;78110
56201;56110
2B313;20230
27623;27400
63201;63350
8316;8700
39104;39140
63055;63230
84086;84580
68128;68560
17133;17260
40084;40180
51141;51240
6128;6570
67531;67130
57270;57260
93079;93430
21192;21160
43058;43120
84096;84110
12007;12260
43198;43510
60312;60380
62374;62121
57504;57560
60591;60650
28035;28630
94021;94550
87062;87400
97408;97419
71295;71310
57565;57390
50043;50520
88169;88600
4122;4510
70385;70200
24132;24560
45113;45320
62059;62610
39570;39800
50001;50440
89413;89430
65466;65240
3086;3470
79184;79800
57643;57420
16169;16100
56037;56460
11240;11190
69013;69400
50148;50680
61149;61440
61459;61220
25366;25120
12077;12540
4019;4400
71389;71140
88503;88110
25014;25220
59192;59580
59444;59970
30322;30460
14202;14113
64448;64230
43031;43380
67496;67350
60456;60190
72362;72170
52476;52150
49010;49420
53144;53440
48168;48100
68301;68440
88017;88300
75102;75002
46203;46210
72370;72170
77098;77370
52377;52400
42087;42600
4130;4230
81077;81250
32072;32190
21267;21640
57693;57070
89076;89210
14129;14350
46313;46130
2307;2460
3105;3120
15140;15000/15250
11410;11600
7218;7270
69127;69280
76212;76160
29055;29260
29117;29870
68081;68720
62402;62830
54423;54540
54573;54380
26252;26800
65141;65240
55186;55000
5096;5170
77052;77720
29156;29800
61414;61400
62560;62250
25544;25430
11346;11260
57593;57860
37147;37800
88156;88700
36181;36100
70037;70180
71008;71170
14452;14620
29155;29242
2655;2130
3164;3800
27437;27150
78158;78150
40312;40220
28308;28270
62315;62170
2749;2460
85077;85540
61247;61290
18016;18220
67447;67300
88516;88800
11276;11350
27367;27560
60267;60360
50512;50750
3244;3420
56190;56500
28284;28310
53207;53150
8053;8140
36050;36500
21236;21190
47083;47210
63108;63200
87201;87430
50342;50760
28018;28330
2059;2800
4166;4500
51201;51700
36037;36100
63255;63340
61246;61260
31240;31450
50042;50170
15013;15500
70250;70200
60158;60420
21038;21130
50115;50320
19066;19520
62745;62990
76660;76430
74158;74140
55242;55160
38174;38260
7008;7210
5086;5150
77414;77160
40092;40500
31148;31810
50077;50110
54296;54280
8374;8130
38408;38540
2B236;20240
11158;11300
48186;48400
70011;70280
21224;21350
33411;33490
76273;76160
81162;81470
57352;57130
62868;62770
29133;29241
31536;31800
54172;54620
35076;35310
76261;76440
57681;57320
67371;67290
29220;29120
57730;57220
62252;62136
65232;65350
9263;9800
21349;21430
66130;66340
1325;1800
80290;80150
10275;10100
58128;58370
24580;24120
27679;27130
39287;39240
80339;80170
85236;85150
70151;70140
35243;35133
11212;11120
55443;55400
62047;62390
51351;51230
28360;28170
59650;59150
76019;76590
27571;27450
76458;76590
16220;16200
10310;10140
28279;28210
33239;33840
7305;7140
11441;11110
38402;38220
14191;14470
70525;70120
8297;8090
54170;54290
86204;86190
78233;78810
30257;30320
65244;65320
38245;38160
55459;55130
84053;84600
33272;33620
26028;26260
38270;38140
50431;50570
24240;24510
70197;70230
38222;38620
42238;42440
35200;35130
55401;55300
27092;27520
76465;76270
2B145;20215
50409;50880
83039;83670
41073;41160
88408;88360
14420;14140
95625;95450
87037;87440
78053;78910
45032;45210
51265;51120
71261;71290
88120;88520
32250;32420
52370;52300
66222;66820
18120;18140
53194;53320
70506;70400
7104;7190
18229;18110
58154;58190
65299;65500
27557;27300
46315;46190
13080;13610
1257;1200
51629;51500
13009;13330
80514;80560
58127;58700
2093;2300
2727;2270
55449;55320
40278;40200
27028;27290
88155;88500
95287;95810
2325;2540
88510;88320
30216;30160
61097;61400
76230;76780
32398;32400
82147;82160
88234;88240
55104;55130
83040;83840
60626;60590
79337;79270
61357;61320
89241;89120
76144;76560
11178;11320
30082;30870
62844;62560
95678;95840
80545;80110
11103;11190
8424;8240
46084;46600
27434;27560
60352;60240
86226;86800
3112;3140
3049;3500
63197;63440
23038;23600
14257;14210
3235;3150
22073;22320
89438;89290
10398;10240
21558;21200
62863;62138
67253;67520
27032;27240
2252;2160
72355;72610
25155;25330
3240;3220
44159;44690
71024;71110
15255;15130
61093;61800
56165;56800
71452;71220
45255;45490
89133;89116
57051;57340
49035;49080
40294;40180
71483;71800
27452;27170
89236;89100
16124;16220
57484;57600
77345;77750
33219;33240
27101;27500
65172;65170
28292;28500
91667;91360
54378;54870
51547;51600
28107;28630
62573;62410
68023;68980
2013;2190
91038;91580
17334;17470
23138;23150
51662;51420
2381;2500
76556;76170
2359;2680
39061;39130
65296;65700
36079;36110
49215;49260
23114;23170
34336;34420
25313;25110
73238;73410
39441;39220
18163;18250
33392;33410
82161;82410
54278;54740
61213;61320
31577;31480
71549;71290
28405;28500
2B301;20246
39376;39300
45282;45160
11329;11260
76609;76280
4233;4200
28287;28140
47256;47210
54348;54385
52156;52300
74229;74140
77256;77650
77461;77520
12228;12480
51390;51530
88363;88630
1031;1100
77445;77176
42331;42155
1224;1360
27009;27250
32055;32380
70163;70000
31337;31440
16316;16130
89078;89710
63097;63320
70572;70500
80356;80140
25071;25230
51532;51500
32389;32300
43147;43100
60648;60120
93071;93270
17005;17150
1403;1470
65328;65200
55577;55250
8029;8370
35010;35120
37218;37600
38352;38080
67242;67330
51480;51700
32337;32390
54342;54790
88413;88100
2707;2410
42032;42320
59128;59160
8072;8350
24317;24590
80600;80860
21512;21190
1452;1510
85092;85200
80579;80400
33390;33350
38156;38300
65266;65670
40246;40630
91114;91800
12191;12350
76547;76690
49062;49490
45063;45620
27680;27390
19080;19340
31034;31360
3313;3350
9025;9800
35132;35120
51226;51230
69153;69250
2593;2200
34187;34390
31516;31790
43196;43500
61108;61230
8217;8800
58074;58170
80721;80230
83110;83170
16101;16440
90003;90170
59374;59440
45336;45600
37273;37700
58042;58400
30036;30620
39048;39380
27147;27930
80621;80320
87110;87520
80115;80200
14733;14400
26285;26770
15057;15150
71564;71120
7329;7110
54195;54110
68291;68740
10189;10500
1274;1130
23108;23600
51095;51300
88523;88170
53062;53200
57027;57380
39040;39800
81114;81400
26331;26190
86110;86310
76373;76890
63095;63290
32444;32430
18258;18300
47219;47210
62035;62232
49110;49140
30291;30480
9243;9600
82123;82700
74190;74440
81218;81990
47188;47800
73326;73160
76228;76970
6004;06600/06160
25311;25250
32424;32400
31328;31290
9227;9300
1104;1410
48097;48110
62262;62149
64162;64470
26160;26240
28390;28140
2568;2600
74203;74500
6130;6460
21702;21120
62481;62140
1024;1340
4207;4200
36212;36290
88302;88160
45216;45700
59197;59710
18210;18100
57544;57870
59461;59244
52231;52300
